UNITID,CNTLAFFI,SLO6,DISTNCED,TUITVARY,ROOM,BOARD
110495,1,1,2,1,1,2
110501,1,-2,-2,-2,-2,-2
110510,1,1,2,1,1,2
110529,1,1,2,1,1,2
110538,1,1,2,1,1,1
110547,1,1,2,1,1,3
110556,1,1,2,1,1,2
110565,1,1,2,1,1,2
110574,1,1,2,1,1,2
110583,1,1,2,1,1,1
110592,1,1,2,1,1,1
110608,1,1,2,1,1,2
110617,1,1,2,1,1,2
110635,1,1,2,1,1,2
110644,1,1,2,1,1,2
110653,1,1,2,1,1,2
110662,1,1,2,1,1,1
110671,1,1,2,1,1,2
110680,1,1,2,1,1,2
110699,1,1,2,1,1,3
110705,1,1,2,1,1,1
110714,1,1,2,1,1,2
110778,2,0,2,2,2,3
110875,2,0,2,-2,2,3
110918,4,0,2,2,1,3
111045,4,0,2,2,2,3
111054,2,0,2,-2,2,3
111081,3,1,2,2,1,1
111188,1,1,2,1,1,2
111391,3,1,2,2,2,3
111434,1,1,2,1,2,3
111461,1,1,2,1,2,3
111513,2,0,2,-2,2,3
111638,3,0,2,-2,2,3
111708,3,0,2,-2,2,3
111717,3,0,2,-2,2,3
111726,3,0,2,-2,2,3
111744,3,0,2,-2,2,3
111762,3,0,2,-2,2,3
111799,3,0,2,-2,2,3
111887,1,1,2,1,2,3
111896,1,0,2,1,2,3
111920,1,0,2,1,2,3
111939,1,1,2,1,2,3
111948,4,1,2,2,1,1
111966,3,1,2,2,2,3
112075,4,1,2,2,1,1
112084,4,1,2,2,1,1
112127,4,1,2,2,1,1
112172,1,1,2,1,2,3
112181,2,0,2,-2,2,3
112190,1,1,2,1,2,3
112251,3,0,2,2,2,3
112260,3,1,2,2,1,1
112288,2,0,2,-2,2,3
112367,1,0,2,-2,2,3
112376,1,-2,-2,-2,-2,-2
112385,1,1,2,1,2,3
112394,2,0,2,2,1,3
112455,2,0,2,-2,2,3
112525,3,0,2,2,2,3
112561,1,0,2,1,2,3
112570,3,0,2,2,2,3
112686,1,0,2,1,2,3
112817,1,-2,-2,-2,-2,-2
112826,1,1,2,1,2,3
113096,1,1,2,1,2,3
113111,1,1,2,1,2,3
113193,1,0,2,1,2,3
113218,1,0,2,1,2,3
113236,1,1,2,1,2,3
113333,1,1,2,1,2,3
113449,2,0,2,-2,2,3
113537,3,1,2,2,2,3
113573,1,1,2,1,2,3
113582,2,0,2,2,2,3
113634,1,1,2,1,2,3
113698,3,1,2,2,1,1
113704,4,1,2,2,1,3
113856,1,1,2,1,2,3
113980,1,1,2,1,2,3
114114,2,0,2,2,2,3
114123,2,0,2,-2,2,3
114266,1,0,2,1,2,3
114354,2,1,2,2,2,3
114390,2,1,2,2,2,3
114433,1,0,2,1,1,3
114460,2,0,2,-2,2,3
114549,3,0,2,2,2,3
114585,2,1,2,2,2,3
114637,2,0,2,-2,2,3
114716,1,1,2,1,2,3
114734,4,0,2,2,2,3
114761,2,0,2,-2,2,3
114789,1,1,2,1,2,3
114813,4,1,2,2,1,1
114831,1,-2,-2,-2,-2,-2
114840,4,0,2,2,1,3
114859,1,1,2,1,2,3
114938,1,1,2,1,2,3
114947,3,0,2,-2,2,3
115001,1,1,2,1,2,3
115010,2,0,2,-2,2,3
115083,3,0,2,2,2,3
115126,1,1,2,1,2,3
115214,3,0,2,2,2,3
115287,1,-2,-2,-2,-2,-2
115296,1,1,2,1,2,3
115357,2,0,2,-2,2,3
115393,1,0,2,1,2,3
115409,3,1,2,2,1,1
115658,2,0,2,-2,2,3
115728,4,0,2,2,1,1
115746,2,0,2,2,1,1
115755,1,1,2,1,1,1
115773,3,0,2,2,2,3
115861,1,0,2,1,2,3
115931,2,0,2,-2,2,3
116226,2,0,2,2,2,3
116350,2,0,2,-2,2,3
116439,1,1,2,1,2,3
116563,2,0,2,-2,2,3
116712,3,0,2,2,2,3
116846,4,1,2,2,1,1
117052,1,1,2,1,1,2
117104,4,1,2,2,1,1
117140,3,1,2,2,1,1
117168,3,1,2,2,1,3
117195,1,0,2,1,1,3
117238,2,0,2,-2,2,3
117247,1,1,2,1,2,3
117274,1,0,2,1,1,2
117283,4,0,2,2,1,1
117520,3,0,2,2,2,3
117557,3,0,2,2,2,3
117575,4,0,2,2,1,3
117627,4,1,2,2,1,1
117636,4,0,2,2,1,3
117645,1,0,2,1,2,3
117672,3,0,2,2,2,3
117681,1,-2,-2,-2,-2,-2
117690,1,0,2,1,2,3
117706,1,1,2,1,2,3
117715,1,0,2,1,2,3
117724,1,0,2,1,2,3
117733,1,1,2,1,2,3
117751,4,1,2,2,1,1
117788,1,1,2,1,2,3
117803,1,0,2,2,2,3
117867,1,1,2,1,2,3
117894,1,1,2,1,2,3
117900,1,-2,-2,-2,-2,-2
117946,4,1,2,2,1,2
117955,2,0,2,-2,2,3
118134,2,0,2,-2,2,3
118143,2,0,2,-2,2,3
118161,2,0,2,-2,2,3
118198,2,0,2,-2,2,3
118347,1,0,2,1,2,3
118541,4,1,2,2,1,2
118684,1,0,2,1,2,3
118693,3,1,2,2,1,2
118718,1,0,2,1,2,3
118772,1,1,2,1,2,3
118888,3,1,2,2,1,1
118912,1,1,2,1,2,3
118930,1,1,2,1,2,3
118958,2,0,2,-2,2,3
118976,1,1,2,1,2,3
118994,2,0,2,-2,2,3
119058,3,0,2,2,2,3
119067,1,0,2,1,2,3
119137,1,1,2,1,2,3
119164,1,1,2,1,2,3
119173,4,1,2,2,1,2
119216,1,0,2,1,2,3
119270,2,0,2,2,1,3
119331,1,1,2,1,2,3
119553,2,0,2,-2,2,3
119605,3,1,2,2,2,3
119678,1,0,2,2,2,3
119775,2,1,2,2,2,3
119845,2,0,2,-2,2,3
119951,2,0,2,-2,2,3
120023,1,-2,-2,-2,-2,-2
120069,2,0,2,-2,2,3
120078,2,0,2,-2,2,3
120087,2,0,2,-2,2,3
120166,3,0,2,2,1,3
120184,4,1,2,2,1,1
120254,3,1,2,2,1,2
120290,1,1,2,1,2,3
120342,1,1,2,1,1,3
120403,3,1,2,2,1,1
120421,1,0,2,1,2,3
120537,4,1,2,2,1,1
120661,2,0,2,-2,2,3
120698,3,0,2,2,2,3
120768,3,1,2,2,2,3
120795,4,0,2,2,1,3
120838,3,0,2,2,2,3
120865,4,1,2,2,1,2
120883,3,1,2,2,1,2
120953,1,0,2,1,2,3
120971,1,1,2,1,2,3
121044,1,1,2,1,2,3
121150,4,1,2,2,1,2
121178,1,-2,-2,-2,-2,-2
121257,3,1,2,2,1,1
121275,2,0,2,2,2,3
121309,4,1,2,2,1,2
121345,3,1,2,2,1,1
121363,1,0,2,1,2,3
121433,2,0,2,-2,2,3
121619,1,0,2,1,2,3
121628,3,0,2,2,1,3
121637,2,0,2,-2,2,3
121691,3,1,2,2,1,1
121707,1,0,2,1,1,2
121859,2,0,2,-2,2,3
121868,2,0,2,-2,2,3
121886,1,1,2,1,2,3
121901,1,1,2,1,2,3
121992,2,0,2,-2,2,3
122117,3,0,2,2,2,3
122180,1,1,2,1,2,3
122205,1,1,2,1,2,3
122296,3,0,2,2,2,3
122320,1,-2,-2,-2,-2,-2
122339,1,1,2,1,2,3
122375,1,1,2,1,2,3
122384,1,1,2,1,2,3
122409,1,1,2,1,1,2
122436,4,1,2,2,1,2
122454,3,1,2,2,2,3
122506,3,0,2,2,1,2
122597,1,1,2,1,1,1
122612,4,1,2,2,1,2
122649,3,0,2,2,2,3
122658,1,0,2,1,2,3
122685,2,0,2,-2,2,3
122694,2,0,2,-2,2,3
122728,4,1,2,2,1,1
122737,1,-2,-2,-2,-2,-2
122746,1,1,2,1,2,3
122755,1,1,2,1,1,2
122782,1,-2,-2,-2,-2,-2
122791,1,1,2,1,2,3
122834,2,0,2,2,2,3
122852,2,0,2,2,2,3
122889,1,1,2,1,2,3
122931,4,1,2,2,1,2
122977,1,1,2,1,2,3
123013,1,1,2,1,2,3
123095,3,0,2,2,2,3
123165,3,1,2,2,1,1
123217,1,0,2,1,2,3
123280,4,0,2,2,1,3
123299,1,1,2,1,1,2
123341,1,0,2,1,1,2
123350,2,0,2,-2,2,3
123448,4,1,2,2,2,3
123457,4,1,2,2,1,2
123484,1,0,2,1,1,2
123493,1,0,2,-2,2,3
123509,1,1,2,1,2,3
123527,1,0,2,1,2,3
123554,4,1,2,2,1,2
123563,1,0,2,1,2,3
123572,1,1,2,1,1,2
123633,3,0,2,2,2,3
123642,2,0,2,2,2,3
123651,4,1,2,2,1,1
123679,2,0,2,-2,2,3
123800,1,1,2,1,2,3
123916,4,0,2,2,2,3
123925,1,-2,-2,-2,-2,-2
123943,3,0,2,2,1,3
123952,3,1,2,2,2,3
123961,3,1,2,2,1,2
123970,3,0,2,2,1,3
124113,1,0,2,1,1,1
124283,4,0,2,2,1,3
124292,4,0,2,2,1,1
124487,4,0,2,2,2,3
124557,1,-2,-2,-2,-2,-2
124681,2,0,2,-2,2,3
124706,2,0,2,-2,2,3
124937,2,0,2,-2,2,3
125019,1,-2,-2,-2,-2,-2
125028,1,1,2,1,2,3
125037,3,1,2,2,2,3
125082,2,0,2,-2,2,3
125091,1,1,2,1,2,3
125170,1,1,2,1,2,3
125222,1,-2,-2,-2,-2,-2
125231,2,1,1,2,2,3
125310,2,0,2,-2,2,3
125462,1,0,2,1,1,1
125471,1,0,2,1,2,3
125499,1,1,2,1,2,3
125532,2,0,2,-2,2,3
125718,3,0,2,2,1,3
125727,4,1,2,2,1,1
125763,3,1,2,2,1,1
125897,3,1,2,2,1,1
126012,3,0,2,2,2,3
126049,3,1,2,2,2,3
126076,3,0,2,2,1,1
126100,1,-2,-2,-2,-2,-2
126119,1,0,2,1,2,3
126164,2,0,2,-2,2,3
126182,1,0,2,1,1,1
126207,1,0,2,1,2,3
126289,1,0,2,1,2,3
126359,2,0,2,2,2,3
126562,1,1,2,1,1,1
126580,1,1,2,1,1,2
126605,2,0,2,2,2,3
126614,1,1,2,1,1,1
126669,4,1,2,2,1,1
126678,3,1,2,2,1,2
126687,2,0,2,-2,2,3
126711,1,1,2,1,1,2
126748,1,0,2,1,1,1
126775,1,1,2,1,1,2
126784,2,0,2,-2,2,3
126818,1,1,2,1,1,1
126827,2,0,2,2,2,3
126863,1,0,2,1,2,3
126915,1,0,2,-2,2,3
126942,1,0,2,1,2,3
126951,2,0,2,-2,2,3
126979,4,0,2,2,1,3
127060,3,1,2,2,1,2
127158,1,0,2,-2,2,3
127185,1,1,2,1,1,1
127200,1,0,2,1,2,3
127273,4,0,2,2,2,3
127316,2,0,2,-2,2,3
127389,1,0,2,1,1,1
127556,1,1,2,1,1,1
127565,1,1,2,1,2,3
127617,1,0,2,1,2,3
127653,3,1,2,2,1,3
127714,4,0,1,2,2,3
127732,1,0,2,1,1,1
127741,1,1,2,1,1,1
127778,1,0,2,1,1,1
127820,1,1,2,1,2,3
127884,1,0,2,1,2,3
127909,1,1,2,1,2,3
127918,4,1,2,2,1,2
127945,2,0,2,2,2,3
127954,3,0,2,-2,2,3
128106,1,1,2,1,1,1
128151,1,0,2,1,2,3
128179,2,0,2,-2,2,3
128188,2,0,2,-2,2,3
128258,1,0,2,1,1,1
128300,1,-2,-2,-2,-2,-2
128328,1,1,2,2,1,1
128337,2,0,2,-2,2,3
128391,1,1,2,1,1,1
128498,4,1,2,2,1,1
128577,1,0,2,1,2,3
128586,3,0,2,2,2,1
128744,3,1,2,2,1,2
128771,1,1,2,1,1,2
128780,1,0,1,1,2,3
128896,2,0,2,-2,2,3
128902,3,1,2,2,1,1
129002,2,0,2,2,2,3
129020,1,1,2,1,1,2
129154,3,0,2,2,1,2
129181,2,0,2,-2,2,1
129215,1,1,2,1,1,2
129242,4,1,2,2,1,2
129349,2,0,2,-2,2,3
129367,1,0,2,1,2,3
129428,3,0,2,2,2,3
129482,2,0,2,-2,2,3
129491,3,0,2,2,1,3
129525,3,1,2,2,1,2
129534,4,0,2,2,2,2
129543,1,1,2,1,2,3
129695,1,1,2,1,2,3
129729,1,0,2,1,2,3
129756,1,0,2,1,2,3
129774,3,0,2,2,1,1
129808,1,0,2,1,2,3
129923,2,0,2,-2,2,3
129932,2,0,2,-2,2,3
129941,3,1,2,2,1,1
130004,1,0,2,1,2,3
130040,1,0,2,1,2,3
130110,2,0,2,2,2,3
130174,2,0,2,2,2,3
130183,2,1,2,2,1,1
130217,1,0,2,1,2,3
130226,3,1,2,2,1,2
130253,4,1,2,2,1,2
130314,4,1,2,2,1,1
130396,1,0,2,1,2,3
130493,1,1,2,1,1,2
130509,2,0,2,-2,2,3
130590,3,1,2,2,1,2
130606,1,0,2,1,2,3
130624,1,0,2,2,1,3
130697,3,1,2,2,1,1
130776,1,1,2,1,1,2
130794,3,1,2,2,1,2
130837,3,0,2,2,2,3
130873,2,0,2,-2,2,3
130882,1,-2,-2,-2,-2,-2
130907,1,1,2,1,2,3
130934,1,1,2,1,1,1
130943,1,1,2,1,1,1
130989,3,0,2,2,1,2
131061,2,0,2,-2,2,3
131098,4,1,2,2,1,1
131113,3,1,2,2,2,3
131159,4,1,2,2,1,2
131283,4,1,2,2,1,2
131399,1,0,2,1,2,3
131405,4,0,2,2,2,3
131450,3,1,2,2,1,2
131469,3,1,2,2,1,2
131496,4,1,2,2,1,2
131520,3,1,2,2,1,1
131803,2,0,2,2,2,3
131830,3,0,2,2,2,3
131876,4,0,2,2,1,1
131973,4,0,2,2,1,1
132374,1,0,2,-2,2,3
132408,4,0,2,2,1,1
132471,4,1,2,2,1,1
132602,4,1,2,2,1,1
132657,3,1,2,2,1,1
132675,1,0,2,-2,2,3
132693,1,1,2,1,1,3
132709,1,1,2,1,2,3
132842,3,0,2,2,2,3
132851,1,0,2,1,2,3
132879,4,1,2,2,1,1
132903,1,1,2,1,1,1
132976,1,0,2,1,2,3
133021,1,0,2,1,1,3
133155,1,0,2,-2,2,3
133386,1,0,2,1,2,3
133465,2,0,2,2,2,3
133492,4,1,2,2,1,2
133508,1,1,2,1,1,2
133526,4,0,2,2,1,1
133553,3,1,2,2,1,2
133650,1,1,2,1,1,1
133669,1,1,2,1,1,1
133702,1,0,2,1,1,3
133711,3,1,2,2,1,1
133809,3,0,2,2,1,1
133845,2,0,2,-2,2,3
133854,2,0,2,-2,2,3
133863,2,0,2,-2,2,3
133872,4,0,2,2,1,3
133881,3,1,2,2,1,2
133942,2,0,2,-2,2,3
133951,1,1,2,1,1,2
133960,1,0,2,1,2,1
133979,4,1,2,2,1,1
133997,2,0,2,-2,2,3
134024,2,0,2,-2,2,3
134079,4,1,2,2,1,1
134097,1,1,2,1,1,1
134130,1,1,2,1,1,2
134228,2,0,2,-2,2,3
134237,2,0,2,2,2,3
134291,1,0,2,-2,2,3
134307,1,0,2,-2,2,3
134343,1,1,2,1,2,3
134422,2,0,2,2,2,3
134495,1,1,2,1,1,3
134510,4,0,2,2,1,1
134529,2,0,2,-2,2,3
134574,2,0,2,-2,2,3
134608,1,1,2,1,2,3
134714,2,0,2,-2,2,3
134811,2,0,2,2,2,3
134945,3,1,2,2,1,2
135081,3,1,2,2,2,3
135142,2,0,2,-2,2,3
135160,1,1,2,1,1,1
135179,1,0,2,-2,2,3
135188,1,0,2,1,2,3
135267,1,0,2,-2,2,3
135276,1,0,2,-2,2,3
135294,1,0,2,-2,2,3
135337,2,0,2,-2,2,3
135364,4,0,2,2,2,3
135391,1,0,2,1,2,3
135407,1,0,2,-2,2,3
135522,1,0,2,1,2,3
135559,2,0,2,-2,2,3
135610,4,0,2,2,2,3
135647,1,0,2,-2,2,3
135717,1,1,2,1,2,3
135726,3,1,2,2,1,1
135735,1,0,2,-2,2,3
136109,2,0,2,-2,2,3
136145,1,0,2,1,2,3
136172,1,1,2,1,1,2
136215,3,1,2,1,1,2
136233,1,0,2,1,2,3
136303,1,0,2,-2,2,3
136330,4,1,2,2,1,2
136358,1,1,2,1,2,3
136400,1,0,2,1,2,3
136473,1,1,2,1,2,3
136491,1,0,2,-2,2,3
136516,1,1,2,1,2,3
136659,1,0,2,-2,2,3
136701,4,0,2,2,1,1
136765,1,0,2,1,2,3
136774,3,1,2,2,1,1
136826,1,0,2,-2,2,3
136950,3,1,2,2,1,2
137023,1,0,2,-2,2,3
137032,4,1,2,2,1,2
137078,1,1,2,1,2,3
137087,1,0,2,-2,2,3
137096,1,1,2,1,2,3
137120,1,0,2,-2,2,3
137209,1,1,2,1,2,3
137245,1,0,2,-2,2,3
137272,4,0,2,2,1,1
137281,1,0,2,1,2,3
137315,1,0,2,1,2,3
137351,1,1,2,1,1,2
137476,4,1,2,2,1,1
137546,3,1,2,2,1,1
137564,4,1,2,2,1,1
137591,2,0,2,-2,2,3
137713,1,0,2,-2,2,3
137759,1,1,2,1,2,3
137777,4,0,2,2,1,1
137801,3,0,2,2,2,3
137847,3,1,2,2,1,2
137856,1,0,2,-2,2,3
137865,1,0,2,-2,2,3
137953,4,0,2,2,1,1
137962,4,0,2,2,1,1
138187,1,1,2,1,2,3
138275,4,1,2,2,1,1
138284,1,0,2,-2,2,3
138293,3,1,2,2,1,1
138309,2,0,2,2,2,3
138354,1,1,2,1,1,2
138372,1,0,2,-2,2,3
138479,1,0,2,-2,2,3
138488,1,0,2,-2,2,3
138497,1,0,2,-2,2,3
138558,1,1,2,1,1,2
138600,4,1,2,2,1,1
138655,2,0,2,2,2,3
138664,2,0,2,2,2,3
138682,1,0,2,1,2,3
138716,1,1,2,1,1,2
138761,4,1,2,2,1,1
138813,2,0,2,2,2,3
138822,2,0,2,-2,2,3
138840,1,1,2,1,2,3
138868,4,0,2,2,1,1
138901,1,1,2,1,2,3
138929,2,1,2,2,2,3
138938,2,0,2,-2,2,3
138947,4,1,2,2,1,1
138956,1,0,2,1,2,3
139144,3,1,2,2,1,2
139153,4,0,2,2,2,3
139199,3,1,2,2,1,1
139205,4,0,2,2,1,1
139214,2,0,2,2,2,3
139250,1,1,2,1,1,2
139278,1,0,2,1,2,3
139311,1,1,2,1,1,1
139348,4,1,2,2,1,1
139357,1,0,2,1,2,3
139366,1,1,2,1,1,2
139384,1,0,2,1,2,3
139393,4,1,2,2,1,1
139463,1,1,2,1,1,1
139506,2,0,2,-2,2,3
139579,2,0,2,2,2,3
139621,1,1,2,1,1,2
139630,4,0,2,2,1,1
139658,4,1,2,2,1,2
139700,1,1,2,1,2,3
139719,1,1,2,1,1,1
139746,1,0,2,2,2,3
139755,1,1,2,1,1,1
139764,1,1,2,1,1,1
139861,1,1,2,1,1,1
139931,1,1,2,1,1,2
139940,1,1,2,1,1,1
139959,1,1,2,1,1,1
139968,1,1,2,1,1,1
139986,1,1,2,1,2,3
139995,3,0,2,2,2,3
140003,2,0,2,2,2,3
140012,1,1,2,1,2,3
140146,4,0,2,2,1,3
140234,4,1,2,2,1,1
140243,1,0,2,1,2,3
140252,3,1,2,2,1,1
140331,1,1,2,1,2,3
140340,3,0,2,2,2,3
140447,3,1,2,2,1,2
140553,3,1,2,2,1,2
140562,3,0,2,2,2,3
140678,1,0,2,1,1,1
140696,3,1,2,2,1,1
140720,4,0,2,2,1,1
140818,4,1,2,2,1,1
140827,2,1,2,2,2,3
140872,4,1,2,2,1,1
140942,1,1,2,1,2,3
140951,3,1,2,2,1,1
140960,1,1,2,1,1,1
140988,4,1,2,2,1,1
141006,1,0,2,1,1,1
141015,2,0,2,-2,2,3
141060,3,1,2,2,1,1
141167,3,1,2,2,1,1
141185,4,1,2,2,1,2
141237,4,0,2,2,1,1
141255,1,0,2,1,2,3
141264,1,1,2,1,1,2
141325,4,1,2,2,1,1
141334,1,1,2,1,1,2
141361,4,1,2,2,1,2
141486,4,1,2,2,1,1
141565,1,1,2,1,1,2
141574,1,1,2,1,1,2
141608,2,0,2,-2,2,3
141644,3,1,2,2,1,2
141680,1,0,2,1,2,3
141796,1,1,2,1,2,3
141802,1,0,2,1,2,3
141811,1,1,2,1,2,3
141839,1,1,2,1,2,3
141963,1,-2,-2,-2,-2,-2
141981,1,0,2,1,2,3
141990,1,1,2,1,2,3
142054,2,0,2,-2,2,3
142090,4,0,2,2,1,1
142115,1,1,2,1,1,2
142179,1,0,2,1,2,3
142276,1,1,2,1,1,1
142285,1,1,2,1,1,2
142294,3,1,2,2,1,1
142328,1,1,2,1,1,2
142407,2,0,2,-2,2,3
142416,2,0,2,-2,2,3
142443,1,0,2,1,1,2
142461,4,1,2,2,1,1
142489,2,0,2,-2,2,3
142522,4,0,2,2,1,3
142559,1,0,2,1,1,2
142832,3,0,2,2,2,3
142887,3,1,2,2,2,3
142957,3,0,2,2,1,3
143048,3,1,2,2,1,2
143084,4,1,2,2,1,1
143118,3,1,2,2,1,1
143181,2,0,2,-2,2,3
143215,1,0,2,1,2,3
143233,4,1,2,2,1,3
143279,1,0,2,1,2,3
143288,4,1,2,2,1,1
143297,3,0,2,2,2,3
143303,3,0,2,-2,2,3
143358,3,1,2,2,1,2
143376,2,0,2,-2,2,3
143464,2,0,2,-2,2,3
143473,2,0,2,-2,2,3
143482,2,0,2,-2,2,3
143491,2,0,2,-2,2,3
143543,2,0,2,-2,2,3
143552,2,0,2,-2,2,3
143613,1,1,2,1,2,3
143659,4,1,2,2,1,1
143853,3,0,2,2,1,3
143978,3,1,2,2,2,3
144005,1,1,2,1,1,1
144014,4,0,2,2,2,3
144050,3,1,2,2,1,2
144157,1,0,2,1,2,3
144166,1,0,2,1,2,3
144175,1,0,2,1,2,3
144184,1,0,2,1,2,3
144193,1,0,2,1,2,3
144209,1,1,2,1,2,3
