,UNITID,TYPE,FORPROFIT,BOARD,TUITION1_INDISTRICT_UG,FEE1_INDISTRICT_UG,OFFCAMPUS_SELF_EXP,OFFCAMPUS_FAMILY_EXP,ADMS_REQUIRED_COLLEGEPREP,NUM_APPS_ADMIT,FULLTIME_RETENTIONRATE_SPRING,STUD_TO_FAL_RATIO,PRCNT_FIRSTYR_UG,PRCNT_UG_AWARDEDAID,PRCNT_UG_AWARDED_PELL,TOTAL_AMOUNT_PELL_TOUG,PRCENT_FLOANS_TOUG,STATE,HLOFFER,TEACHER_CERT,TUITION_GURANTEE,TOTAL_ASSETS,TOTAL_SPENT_ACADEMICSUPP,TOTAL_SPENT_STUDENTSS,STATEGRANT,LOCAL_GRANT
0,100654,1,0,1,8610,1414,3090,3440,0,9855,54,18,32,87,71,19916507,75,SOUTH,Highest_Doc,1,0,278440664,7257779,27527791,176182,0
1,100706,1,0,1,9730,1608,4076,4076,0,5793,82,19,19,72,24,8533685,39,SOUTH,Highest_Doc,1,0,521103730,12878882,20821717,109283,0
2,100724,1,0,1,8328,2740,4228,4228,0,7027,62,15,27,93,74,13341998,78,SOUTH,Highest_Doc,1,0,325537085,12928881,15714772,170200,0
3,100751,1,0,0,10780,840,4620,5692,1,39560,87,20,21,67,17,26353781,36,SOUTH,Highest_Doc,1,0,4881510109,103079114,60453485,772030,0
4,100830,1,0,0,7992,868,3830,3830,0,4606,70,16,13,77,47,11282206,54,SOUTH,Highest_Doc,1,0,184716313,4592684,7303651,105571,0
5,100858,1,0,0,10080,1716,5904,5904,1,17946,92,20,19,57,13,15631504,30,SOUTH,Highest_Doc,1,0,3845168598,144933734,38623385,84512,10345
6,100937,0,1,0,17650,1250,4690,4690,0,2460,80,10,27,97,23,1313515,46,SOUTH,Highest_Bachelor,1,0,150253116,3760960,8950139,10878745,44619283
7,101189,0,1,1,21000,1990,4800,4800,0,1572,60,13,12,85,50,5075304,64,SOUTH,Highest_Doc,1,0,91818974,2773551,9018481,12599710,43624987
8,101435,0,1,1,25546,1489,2068,2035,0,2129,70,13,25,98,41,1902219,73,SOUTH,Highest_Bachelor,1,1,90105209,2197449,6536882,10696399,23465278
9,101480,1,0,0,9720,1400,2692,4843,0,10932,73,21,19,77,40,15284630,67,SOUTH,Highest_Doc,1,0,381479000,8930333,22832049,0,0
